x,y,z
-576,32,-816
-576,32,-816
-576,48,-832
-576,48,-832
-592,32,-816
-576,48,-816
-576,48,-816
-576,32,-816
-576,32,-816
-576,48,-800
-576,32,-784
-576,32,-784
-592,32,-800
-592,32,-800
-576,32,-800
-592,48,-816
-592,48,-816
-592,32,-816
-592,32,-816
-576,48,-816
-592,48,-800
-592,48,-800
-576,48,-800
-576,48,-800
-592,48,-816
-576,32,-800
-576,32,-800
-592,32,-800
-592,32,-800
-592,32,-784
-592,48,-768
-592,48,-768
-592,32,-784
-592,32,-784
-592,48,-752
-592,48,-752
-592,48,-752
-576,64,-752
-576,64,-752
-592,64,-736
-608,48,-640
-608,48,-640
-624,48,-528
-624,48,-528
-624,32,-336
-608,16,-272
-608,16,-272
-624,-16,-208
-608,-80,-80
-608,-80,-80
-576,-112,16
-576,-112,16
-464,-64,32
-352,-48,96
-352,-48,96
-224,-64,176
-224,-64,176
-48,-48,64
-48,-48,64
144,-64,-224
320,-80,-400
320,-80,-400
544,-96,-416
864,-112,-576
864,-112,-576
1248,-96,-688
1248,-96,-688
1632,80,-848
1888,272,-1264
1888,272,-1264
1984,480,-1584
1984,480,-1584
1872,240,-1712
1824,80,-1792
1824,80,-1792
1712,144,-1456
1712,144,-1456
1808,592,-1536
1904,704,-2016
1904,704,-2016
1168,-128,-464
1168,-128,-464
960,128,-272
800,-64,-336
800,-64,-336
768,-160,-368
800,-176,-432
800,-176,-432
832,-144,-400
832,-144,-400
864,-64,-352
848,-96,-256
848,-96,-256
864,-144,-352
864,-144,-352
928,-128,-544
928,-128,-544
976,-80,-544
1024,-16,-576
1024,-16,-576
1056,16,-576
1056,16,-576
1040,16,-544
1024,16,-496
1008,0,-496
960,-32,-448
960,-32,-448
960,-16,-528
960,-16,-528
960,-16,-576
960,16,-608
960,16,-608
944,32,-544
944,48,-608
944,48,-608
944,32,-640
944,32,-640
928,64,-736
944,96,-768
944,96,-768
944,128,-832
944,128,-832
928,144,-832
928,144,-832
