x,y,z
-464,-96,-896
-464,-96,-896
-464,-80,-880
-464,-80,-880
-464,-80,-880
-464,-80,-880
-464,-80,-864
-464,-96,-880
-464,-96,-880
-480,-96,-864
-480,-96,-864
-480,-96,-864
-480,-96,-864
-480,-96,-864
-480,-96,-880
-480,-96,-880
-480,-96,-880
-480,-96,-880
-464,-96,-880
-480,-96,-896
-480,-96,-896
-480,-96,-880
-480,-96,-880
-464,-96,-880
-480,-96,-880
-480,-96,-880
-480,-96,-864
-480,-96,-864
-480,-96,-880
-480,-96,-880
-480,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-480,-96,-880
-480,-96,-880
-464,-96,-896
-464,-96,-896
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-480,-96,-864
-480,-96,-864
-464,-96,-864
-464,-80,-864
-464,-80,-864
-480,-96,-880
-464,-96,-896
-464,-96,-896
-464,-112,-896
-464,-112,-896
-464,-112,-896
-464,-112,-896
-464,-112,-896
-464,-96,-880
-464,-96,-880
-480,-96,-864
-480,-96,-864
-480,-96,-864
-464,-96,-864
-464,-96,-864
-464,-96,-864
-480,-96,-880
-480,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-896
-464,-96,-880
-464,-96,-880
-464,-96,-896
-464,-96,-880
-464,-96,-880
-464,-96,-896
-464,-96,-896
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-96,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-112,-880
-464,-96,-896
-464,-96,-896
-464,-96,-896
-464,-112,-896
-464,-112,-896
-464,-112,-896
-464,-112,-896
-480,-96,-880
-480,-96,-864
-480,-96,-864
-480,-80,-848
-464,-80,-848
-464,-80,-848
-464,-80,-864
-464,-80,-864
-464,-80,-880
-464,-80,-880
-464,-96,-896
-464,-96,-896
-464,-96,-896
-464,-112,-912
-464,-112,-896
-464,-112,-896
-464,-96,-880
-464,-96,-880
-480,-96,-864
-464,-96,-848
-464,-96,-848
-464,-96,-864
-464,-96,-864
-464,-112,-880
