x,y,z
-192,-16,-976
-192,-16,-976
-192,-16,-992
-192,-16,-992
-192,-16,-992
-192,-16,-992
-192,-16,-992
-192,-16,-1024
-192,-32,-1008
-192,-32,-1008
-192,-32,-992
-192,-32,-992
-192,-48,-960
-192,-64,-944
-192,-64,-944
-192,-64,-944
-192,-64,-944
-192,-48,-960
-192,-32,-976
-192,-32,-976
-192,-32,-1008
-192,-16,-1008
-192,-16,-1008
-192,-16,-1008
-192,-16,-1008
-192,-32,-1008
-192,-32,-1008
-192,-32,-992
-192,-32,-992
-208,-32,-992
-192,-32,-992
-192,-32,-992
-192,-32,-976
-192,-32,-976
-192,-32,-976
-192,-48,-976
-192,-48,-976
-192,-48,-960
-192,-48,-960
-192,-64,-960
-192,-64,-976
-192,-64,-976
-192,-64,-992
-208,-64,-1008
-208,-64,-976
-208,-32,-960
-208,-32,-960
-208,0,-960
-208,0,-960
-192,32,-976
-192,32,-992
-192,32,-992
-192,16,-1024
-192,16,-1024
-176,16,-1024
-176,16,-1024
-176,-16,-992
-176,-16,-976
-176,-16,-976
-192,-32,-976
-192,-32,-976
-192,-48,-976
-192,-64,-992
-192,-64,-992
-192,-64,-1008
-192,-64,-1008
-192,-48,-1008
-192,-48,-992
-192,-48,-992
-208,-48,-960
-208,-48,-960
-208,-16,-928
-208,0,-944
-208,0,-944
-192,16,-976
-192,16,-976
-192,32,-1008
-192,16,-1024
-192,16,-1024
-192,0,-1024
-192,0,-1024
-192,-32,-992
-192,-48,-976
-192,-48,-976
-192,-48,-976
-192,-48,-976
-192,-48,-976
-192,-48,-992
-192,-48,-992
-192,-48,-992
-192,-48,-992
-192,-32,-1008
-192,-32,-992
-192,-32,-992
-192,-16,-960
-192,-16,-960
-192,0,-960
-192,0,-960
-192,0,-960
-176,-16,-976
-176,-16,-976
-192,-16,-992
-192,-16,-992
-192,0,-1008
-192,-32,-1008
-192,-32,-1008
-192,-32,-992
-192,-32,-992
-192,-48,-960
-208,-48,-960
-208,-48,-960
-192,-48,-976
-192,-48,-976
-192,-32,-992
-192,-32,-992
-192,-32,-992
-176,-16,-976
-176,-16,-976
-176,-32,-976
-176,-32,-992
-176,-32,-992
-192,-32,-960
-192,-32,-960
-192,-48,-1008
