x,y,z
-48,80,-1056
-48,80,-1056
-64,48,-1024
-64,48,-1024
-80,48,-992
-80,32,-976
-80,32,-976
-80,48,-976
-80,80,-992
-80,80,-992
-48,128,-1008
-48,128,-1008
-80,32,-1008
-80,32,-1008
-80,-16,-1056
-64,-16,-1072
-64,-16,-1072
-48,-32,-1088
-32,-32,-1072
-32,-48,-1040
-64,-48,-1008
-64,-48,-1008
-80,-80,-928
-80,-80,-928
-96,-128,-928
-96,-176,-960
-96,-176,-960
-80,-144,-944
-80,-144,-944
-96,-128,-976
-80,-112,-1024
-80,-112,-1024
-96,-80,-1056
-96,-80,-1056
-96,-32,-1024
-96,-32,-1024
-96,-32,-1024
-96,-48,-1024
-80,-64,-992
-80,-64,-992
-80,-64,-992
-48,-288,-928
208,-320,-1040
208,-320,-1040
480,576,-672
480,576,-672
400,912,-640
432,976,-816
432,976,-816
560,1344,-688
720,2048,-544
720,2048,-544
880,2048,-432
880,2048,-432
1024,2048,-752
1136,2048,-848
1136,2048,-848
1296,1776,-1184
1296,1776,-1184
1312,928,-1408
1312,928,-1408
1232,880,-1200
1232,880,-1200
1344,704,-784
1472,192,-544
1472,192,-544
1920,-224,-448
1920,-224,-448
2048,-560,-736
2000,-848,-1456
2000,-848,-1456
1536,-960,-1808
1536,-960,-1808
1088,-1008,-1744
1088,-1008,-1744
800,-800,-1264
688,-512,-912
688,-512,-912
496,-304,-928
496,-304,-928
384,-224,-960
320,-240,-928
320,-240,-928
256,-192,-880
256,-192,-880
192,-160,-912
192,-160,-912
160,-160,-912
128,-128,-896
96,-80,-912
64,-16,-928
64,-16,-928
32,-16,-944
0,0,-992
0,0,-992
-16,0,-1024
-16,0,-1024
-32,-16,-1072
-16,-32,-1072
-16,-32,-1072
0,-16,-1104
0,-16,-1104
16,0,-1120
32,32,-1104
32,32,-1104
32,0,-1056
32,0,-1056
64,-48,-1008
112,-48,-960
112,-48,-960
160,-80,-912
160,-80,-912
176,-112,-880
176,-128,-832
176,-128,-832
176,-144,-832
176,-144,-832
192,-96,-864
208,-64,-832
208,-64,-832
176,-80,-816
176,-80,-816
144,-96,-768
112,-176,-800
