x,y,z
-192,16,-992
-192,16,-992
-192,16,-992
-176,16,-992
-176,16,-992
-176,32,-1008
-176,32,-1008
-176,48,-992
-176,48,-992
-176,48,-992
-176,64,-976
-176,64,-976
-176,64,-960
-176,80,-960
-176,80,-960
-176,112,-944
-176,112,-944
-160,144,-944
-112,208,-944
-112,208,-944
-32,272,-1024
-32,272,-1024
128,320,-1024
384,192,-1024
384,192,-1024
624,-400,-960
624,-400,-960
848,-1040,-944
800,-1648,-912
800,-1648,-912
832,-1984,-752
832,-1984,-752
576,-2032,-1104
576,-2032,-1104
416,-2032,-1520
560,-2032,-1904
560,-2032,-1904
976,-1600,-1728
976,-1600,-1728
1216,-896,-1440
1216,-896,-1440
1232,-512,-1424
1136,-480,-1536
1136,-480,-1536
1104,-976,-1536
1104,-976,-1536
1664,-1376,-1232
2048,-1296,-704
2048,-1296,-704
2048,-1024,-800
2048,-1024,-800
2048,592,-864
2048,592,-864
2048,816,-464
2048,1424,-320
2048,1424,-320
1840,1792,-288
1840,1792,-288
1360,1584,-304
976,1104,-176
976,1104,-176
928,1152,-224
784,1136,-400
784,1136,-400
656,1024,-416
656,1024,-416
544,800,-624
528,736,-816
528,736,-816
512,688,-880
512,688,-880
512,768,-992
448,704,-928
448,704,-928
400,704,-960
336,672,-944
336,672,-944
240,592,-912
240,592,-912
176,544,-912
192,576,-864
192,576,-864
176,528,-736
176,528,-736
208,576,-688
208,576,-688
288,656,-704
320,736,-720
320,736,-720
336,768,-752
352,784,-704
352,784,-704
272,528,-704
272,528,-704
272,576,-800
272,576,-800
304,720,-752
256,832,-704
256,832,-704
176,688,-736
0,208,-768
0,208,-768
-80,48,-800
-80,48,-800
16,384,-848
80,640,-752
80,640,-752
48,672,-704
48,672,-704
-48,592,-688
-160,384,-720
-160,384,-720
-256,288,-784
-272,400,-896
-272,400,-896
-224,528,-880
-224,528,-880
-256,432,-704
-256,432,-704
-464,16,-736
-464,16,-736
-512,32,-960
-480,128,-1088
-480,128,-1088
-400,272,-1088
-400,272,-1088
