x,y,z
560,48,-848
560,48,-848
560,48,-848
560,48,-848
560,48,-848
560,48,-848
560,32,-848
560,32,-848
560,32,-848
560,32,-848
560,32,-848
560,48,-864
560,48,-864
560,32,-848
560,48,-864
560,48,-864
560,48,-864
560,48,-864
560,48,-864
560,48,-848
560,48,-848
560,48,-848
560,48,-832
560,48,-832
560,48,-832
560,48,-832
560,32,-832
560,32,-784
560,32,-784
544,16,-816
544,16,-816
544,32,-800
528,32,-816
528,32,-816
512,64,-800
512,64,-800
480,16,-736
480,16,-736
448,16,-592
448,16,-592
400,48,-528
400,32,-496
400,32,-496
464,-64,-592
464,-64,-592
688,-80,-816
912,48,-976
912,48,-976
1056,80,-1104
1152,112,-1200
1152,112,-1200
1216,144,-1376
1216,144,-1376
1296,160,-1408
1296,160,-1408
1440,176,-1344
1680,128,-1536
1680,128,-1536
1920,192,-1808
2048,144,-1856
2048,144,-1856
2048,64,-1744
2048,64,-1744
2048,48,-1664
2048,48,-1664
2048,48,-1472
2048,48,-1472
2048,-48,-1248
2048,-160,-1104
2048,-160,-1104
2048,-256,-944
2048,-256,-944
2048,-496,-960
2048,-544,-928
2048,-544,-928
2048,-432,-816
2048,-464,-576
2048,-512,-336
2048,-512,-336
1936,-448,-144
1616,-336,-48
1616,-336,-48
1328,-176,32
1328,-176,32
1104,-32,320
816,64,656
816,64,656
624,128,880
624,128,880
400,96,1232
144,96,1600
144,96,1600
-80,176,1712
-80,176,1712
-160,192,1488
-176,128,1328
-176,128,1328
-224,112,1280
-224,112,1280
-288,176,1200
-288,176,1200
-368,240,1104
-368,240,1104
-464,224,1024
-560,208,976
-560,208,976
-656,144,848
-720,80,704
-720,80,704
-784,80,576
-784,80,576
-816,112,448
-816,112,448
-864,112,368
-864,112,368
-896,64,368
-928,64,384
-928,64,384
-944,48,384
-944,16,432
-944,16,432
-944,-32,480
-944,-32,480
-944,-16,496
-944,-16,496
-896,64,464
-896,64,464
-880,112,464
